ZCTA,Mean Household Income
05463,65093
05464,70971
05465,113493
05468,77958
05471,67849
05472,78495
05473,91605
05474,82783
05476,53663
05477,87977
05478,69108
05481,No Data
05482,137531
05483,70591
05485,54032
05486,95060
05487,76190
05488,76730
05489,112327
05491,68533
05492,59681
05494,106410
05495,95919
05602,71512
05640,53611
05641,63630
05647,66842
05648,80930
05649,78581
05650,65427
05651,73932
05652,60673
05653,51462
05654,53503
05655,56591
05656,43400
05657,78583
05658,56045
05660,93268
05661,63950
05663,77755
05664,No Data
05667,69107
05669,55033
05672,85367
05673,88317
05674,83459
05675,69690
05676,74693
05677,82660
05678,67132
05679,59037
05680,60473
05681,77709
05682,68923
05701,56782
05730,79611
05732,54121
05733,63566
05734,73109
05735,71548
05736,85609
05737,86048
05738,85033
05739,69221
05740,No Data
05742,56293
05743,54633
05744,63705
05747,68765
05748,50002
05751,73088
05753,79578
05757,58016
05758,65126
05759,58254
05760,67202
05761,62689
05762,69873
05763,76299
05764,56339
05765,64047
05766,68492
05767,59160
05769,64023
05770,82839
05772,75290
05773,59454
05774,56343
05775,52419
05776,71292
05777,59777
05778,59842
05819,59487
05820,52135
05821,67517
05822,50543
05824,53733
05825,45842
05826,59238
05827,45781
05828,70085
05829,49927
05830,55657
05832,69480
05833,39124
05836,62153
05837,44482
05839,52095
05841,72366
05842,51445
05843,52207
05845,52012
05846,39184
05847,51137
05850,No Data
05851,48265
05853,68420
05855,55065
05857,54437
05858,52519
05859,47001
05860,49878
05862,66008
05866,52058
05867,45412
05868,47650
05871,55214
05872,51253
05873,65332
05874,78698
05875,72996
05901,50113
05902,45512
05903,49877
05904,27038
05905,51979
05906,45301
05907,47314
06001,165753
06002,95819
06010,73409
06013,122934
06016,88159
06018,66275
06019,123291
06020,No Data
06021,89156
06022,80036
06023,92706
06024,73505
06026,87525
06027,98633
06029,101329
06031,120097
06032,141461
06033,136946
06035,120616
06037,103198
06039,127648
06040,75985
06042,78943
06043,111812
06051,40425
06052,75698
06053,58394
06057,99637
06058,100983
06059,No Data
06060,228503
06061,29497
06062,70796
06063,94323
06065,104378
06066,76981
06067,102829
06068,121491
06069,118240
06070,144857
06071,109651
06073,188542
06074,117942
06076,75467
06078,124009
06081,67569
06082,78786
06084,124795
06085,112924
06088,72414
06089,154792
06090,138737
06091,95471
06092,182515
06093,118443
06095,94535
06096,81930
06098,73585
06103,96319
06105,47690
06106,40228
06107,138431
06108,54500
06109,93145
06110,75019
06111,87593
06112,46218
06114,41342
06117,169526
06118,69179
06119,98649
06120,30919
06160,No Data
06226,47010
06231,120257
06232,109220
06234,73500
06235,93029
06237,106607
06238,103876
06239,59449
06241,79251
06242,88704
06243,No Data
06247,89599
06248,119246
06249,100065
06250,88427
06254,104890
06255,72328
06256,62260
06259,117446
06260,58270
06262,50701
06263,28938
06264,70218
06266,54987
06268,81115
06269,No Data
06277,93282
06278,93040
06279,87036
06280,84816
06281,86850
06282,85769
06320,54617
06330,75795
06331,85766
06332,80066
06333,130220
06334,87184
06335,111559
06336,84076
06339,95936
06340,72952
06350,69898
06351,82746
06353,No Data
06354,64058
06355,109285
06357,90701
06359,91127
06360,65340
06365,80884
06370,90080
06371,114515
06373,70926
06374,74665
06375,86157
06376,203824
06377,86474
06378,121923
06379,83459
06380,65509
06382,72665
06384,80300
06385,97589
06387,33505
06389,No Data
06390,173206
06401,62191
06403,92903
06405,97108
06409,57234
06410,125874
06412,92400
06413,92333
06414,110421
06415,106443
06416,97660
06417,90052
06418,66135
06419,128462
06420,117398
06422,140761
06423,107220
06424,109123
06426,131382
06437,132149
06438,125678
06441,111424
06442,113916
06443,143342
06444,67491
06447,115765
06450,68799
06451,62744
06455,110398
06456,166447
06457,81172
06460,95890
06461,108842
06467,64737
06468,143010
06469,96416
06470,145685
06471,105932
06472,104160
06473,104463
06475,105355
06477,138942
06478,117567
06479,98561
06480,102054
06481,103336
06482,129899
06483,88492
06484,106649
06488,105257
06489,97542
06492,93573
06498,111017
06510,70018
06511,60943
06512,77446
06513,49605
06514,78205
06515,75355
06516,65781
06517,96034
06518,93751
06519,39557
06524,120961
06525,175780
06604,51320
06605,56633
06606,66863
06607,38939
06608,40930
06610,51285
06611,132033
06612,171108
06614,93868
06615,71603
06702,18377
06704,47217
06705,58112
06706,50462
06708,64314
06710,43360
06712,109505
06716,96690
06750,88149
06751,109307
06752,143748
06754,114172
06755,113523
06756,87822
06757,93978
06758,94330
06759,113100
06762,113274
06763,96074
06770,76963
06776,98721
06777,108598
06778,105609
06779,69348
06782,74331
06783,144745
06784,158212
06785,98910
06786,78875
06787,83023
06790,66841
06791,119992
06793,151803
06794,132179
06795,112746
06796,110294
06798,108852
06801,110667
06804,134058
06807,211531
06810,72186
06811,104283
06812,123933
06820,307100
06824,186147
06825,134746
06830,256124
06831,280281
06840,300285
06850,109352
06851,109163
06853,220185
06854,82070
06855,102665
06856,No Data
06870,322536
06877,211613
06878,250060
06880,256160
06883,286088
06890,252323
06896,158426
06897,242559
06901,82619
06902,99283
06903,240867
06905,135003
06906,108873
06907,111852
07001,83918
07002,70258
07003,87542
07004,122346
07005,126995
07006,141259
07008,71144
07009,132873
07010,82458
07011,67861
07012,103769
07013,100561
07014,99051
07016,132284
07017,50977
07018,50138
07020,131797
07021,254026
07022,65208
07023,138201
07024,90759
07026,59615
07027,99594
07028,225000
07029,67612
07030,143819
07031,84670
07032,75999
07033,121268
07034,90825
07035,92033
07036,71817
07039,182381
07040,154264
07041,138544
07042,129072
07043,217455
07044,132266
07045,174716
07046,254761
07047,69685
07050,45799
07052,121021
07054,97208
07055,48390
07057,69812
07058,133253
07059,205007
07060,72154
07062,82622
07063,75557
07064,81654
07065,73692
07066,105355
07067,105251
07068,147081
07069,182181
07070,104237
07071,86441
07072,94476
07073,87183
07074,81215
07075,106298
07076,147423
07077,98240
07078,324843
07079,157592
07080,106227
07081,116758
07082,168586
07083,92188
07086,118766
07087,55753
07088,56246
07090,187395
07092,196663
07093,69572
07094,104601
07095,93346
07102,38119
07103,41460
07104,45853
07105,54139
07106,50981
07107,43527
07108,41451
07109,75153
07110,99877
07111,48957
07112,47744
07114,37777
07201,53335
07202,56624
07203,57097
07204,78933
07205,75189
07206,52587
07208,62778
07302,124972
07304,62472
07305,70446
07306,62997
07307,69582
07310,154863
07311,249410
07401,169474
07403,87246
07405,140243
07407,82788
07410,113059
07416,75410
07417,246616
07418,117584
07419,97274
07420,84147
07421,98583
